id,gen,name,hp,atk,def,spa,spd,spe,weight,height,isNonstandard,dex_number,alias
0,rb,Bulbasaur,45,49,49,65,65,45,6.9,0.7,Standard,1,bulbasaur
1,rb,Caterpie,45,30,35,20,20,45,2.9,0.3,Standard,10,caterpie
2,rb,Voltorb,40,30,50,55,55,100,10.4,0.5,Standard,100,voltorb
3,rb,Electrode,60,50,70,80,80,140,66.6,1.2,Standard,101,electrode
4,rb,Exeggcute,60,40,80,60,60,40,2.5,0.4,Standard,102,exeggcute
5,rb,Exeggutor,95,95,85,125,125,55,120.0,2.0,Standard,103,exeggutor
6,rb,Cubone,50,50,95,40,40,35,6.5,0.4,Standard,104,cubone
7,rb,Marowak,60,80,110,50,50,45,45.0,1.0,Standard,105,marowak
8,rb,Hitmonlee,50,120,53,35,35,87,49.8,1.5,Standard,106,hitmonlee
9,rb,Hitmonchan,50,105,79,35,35,76,50.2,1.4,Standard,107,hitmonchan
10,rb,Lickitung,90,55,75,60,60,30,65.5,1.2,Standard,108,lickitung
11,rb,Koffing,40,65,95,60,60,35,1.0,0.6,Standard,109,koffing
12,rb,Metapod,50,20,55,25,25,30,9.9,0.7,Standard,11,metapod
13,rb,Weezing,65,90,120,85,85,60,9.5,1.2,Standard,110,weezing
14,rb,Rhyhorn,80,85,95,30,30,25,115.0,1.0,Standard,111,rhyhorn
15,rb,Rhydon,105,130,120,45,45,40,120.0,1.9,Standard,112,rhydon
16,rb,Chansey,250,5,5,105,105,50,34.6,1.1,Standard,113,chansey
17,rb,Tangela,65,55,115,100,100,60,35.0,1.0,Standard,114,tangela
18,rb,Kangaskhan,105,95,80,40,40,90,80.0,2.2,Standard,115,kangaskhan
19,rb,Horsea,30,40,70,70,70,60,8.0,0.4,Standard,116,horsea
20,rb,Seadra,55,65,95,95,95,85,25.0,1.2,Standard,117,seadra
21,rb,Goldeen,45,67,60,50,50,63,15.0,0.6,Standard,118,goldeen
22,rb,Seaking,80,92,65,80,80,68,39.0,1.3,Standard,119,seaking
23,rb,Butterfree,60,45,50,80,80,70,32.0,1.1,Standard,12,butterfree
24,rb,Staryu,30,45,55,70,70,85,34.5,0.8,Standard,120,staryu
25,rb,Starmie,60,75,85,100,100,115,80.0,1.1,Standard,121,starmie
26,rb,Mr. Mime,40,45,65,100,100,90,54.5,1.3,Standard,122,mr-mime
27,rb,Scyther,70,110,80,55,55,105,56.0,1.5,Standard,123,scyther
28,rb,Jynx,65,50,35,95,95,95,40.6,1.4,Standard,124,jynx
29,rb,Electabuzz,65,83,57,85,85,105,30.0,1.1,Standard,125,electabuzz
30,rb,Magmar,65,95,57,85,85,93,44.5,1.3,Standard,126,magmar
31,rb,Pinsir,65,125,100,55,55,85,55.0,1.5,Standard,127,pinsir
32,rb,Tauros,75,100,95,70,70,110,88.4,1.4,Standard,128,tauros
33,rb,Magikarp,20,10,55,20,20,80,10.0,0.9,Standard,129,magikarp
