id,pokemon_id,types
0,0,Grass
1,0,Poison
2,1,Bug
3,2,Electric
4,3,Electric
5,4,Grass
6,4,Psychic
7,5,Grass
8,5,Psychic
9,6,Ground
10,7,Ground
11,8,Fighting
12,9,Fighting
13,10,Normal
14,11,Poison
15,12,Bug
16,13,Poison
17,14,Ground
18,14,Rock
19,15,Ground
20,15,Rock
21,16,Normal
22,17,Grass
23,18,Normal
24,19,Water
25,20,Water
26,21,Water
27,22,Water
28,23,Bug
29,23,Flying
30,24,Water
31,25,Water
32,25,Psychic
33,26,Psychic
34,27,Bug
35,27,Flying
36,28,Ice
37,28,Psychic
38,29,Electric
39,30,Fire
40,31,Bug
41,32,Normal
42,33,Water
43,34,Bug
44,34,Poison
45,35,Water
46,35,Flying
47,36,Water
48,36,Ice
49,37,Normal
50,38,Normal
51,39,Water
52,40,Electric
53,41,Fire
54,42,Normal
55,43,Rock
56,43,Water
57,44,Rock
58,44,Water
59,45,Bug
60,45,Poison
61,46,Rock
62,46,Water
63,47,Rock
64,47,Water
65,48,Rock
66,48,Flying
67,49,Normal
68,50,Ice
69,50,Flying
70,51,Electric
71,51,Flying
72,52,Fire
73,52,Flying
74,53,Dragon
75,54,Dragon
76,55,Dragon
77,55,Flying
78,56,Bug
79,56,Poison
80,57,Psychic
81,58,Psychic
82,59,Normal
83,59,Flying
84,60,Normal
85,60,Flying
86,61,Normal
87,61,Flying
88,62,Normal
89,63,Grass
90,63,Poison
91,64,Normal
92,65,Normal
93,65,Flying
94,66,Normal
95,66,Flying
96,67,Poison
97,68,Poison
98,69,Electric
99,70,Electric
100,71,Ground
101,72,Ground
102,73,Poison
103,74,Grass
104,74,Poison
105,75,Poison
106,76,Poison
107,76,Ground
108,77,Poison
109,78,Poison
110,79,Poison
111,79,Ground
112,80,Normal
113,81,Normal
114,82,Fire
115,83,Fire
116,84,Normal
117,85,Fire
118,86,Normal
119,87,Poison
120,87,Flying
121,88,Poison
122,88,Flying
123,89,Grass
124,89,Poison
125,90,Grass
126,90,Poison
127,91,Grass
128,91,Poison
129,92,Bug
130,92,Grass
131,93,Bug
132,93,Grass
133,94,Bug
134,94,Poison
135,95,Bug
136,95,Poison
137,96,Fire
138,97,Ground
139,98,Ground
140,99,Normal
141,100,Normal
142,101,Water
143,102,Water
144,103,Fighting
145,104,Fighting
146,105,Fire
147,106,Fire
148,107,Fire
149,107,Flying
150,108,Water
151,109,Water
152,110,Water
153,110,Fighting
154,111,Psychic
155,112,Psychic
156,113,Psychic
157,114,Fighting
158,115,Fighting
159,116,Fighting
160,117,Grass
161,117,Poison
162,118,Water
163,119,Grass
164,119,Poison
165,120,Grass
166,120,Poison
167,121,Water
168,121,Poison
169,122,Water
170,122,Poison
171,123,Rock
172,123,Ground
173,124,Rock
174,124,Ground
175,125,Rock
176,125,Ground
177,126,Fire
178,127,Fire
179,128,Water
180,128,Psychic
181,129,Water
182,130,Water
183,130,Psychic
184,131,Electric
185,132,Electric
186,133,Normal
187,133,Flying
188,134,Normal
189,134,Flying
190,135,Normal
191,135,Flying
192,136,Water
193,137,Water
194,137,Ice
195,138,Poison
196,139,Poison
197,140,Water
198,141,Water
199,142,Water
200,142,Ice
201,143,Ghost
202,143,Poison
203,144,Ghost
204,144,Poison
205,145,Ghost
206,145,Poison
207,146,Rock
208,146,Ground
209,147,Psychic
210,148,Psychic
211,149,Water
212,150,Water
213,151,Grass
214,151,Poison
215,152,Bug
216,153,Electric
217,154,Electric
218,155,Grass
219,155,Psychic
220,156,Grass
221,156,Psychic
222,157,Ground
223,158,Ground
224,159,Fighting
225,160,Fighting
226,161,Normal
227,162,Poison
228,163,Bug
229,164,Poison
230,165,Ground
231,165,Rock
232,166,Ground
233,166,Rock
234,167,Normal
235,168,Grass
236,169,Normal
237,170,Water
238,171,Water
239,172,Water
240,173,Water
241,174,Bug
242,174,Flying
243,175,Water
244,176,Water
245,176,Psychic
246,177,Psychic
247,178,Bug
248,178,Flying
249,179,Ice
250,179,Psychic
251,180,Electric
252,181,Fire
253,182,Bug
254,183,Normal
255,184,Water
256,185,Bug
257,185,Poison
258,186,Water
259,186,Flying
260,187,Water
261,187,Ice
262,188,Normal
263,189,Normal
264,190,Water
265,191,Electric
266,192,Fire
267,193,Normal
268,194,Rock
269,194,Water
270,195,Rock
271,195,Water
272,196,Bug
273,196,Poison
274,197,Rock
275,197,Water
276,198,Rock
277,198,Water
278,199,Rock
279,199,Flying
280,200,Normal
281,201,Ice
282,201,Flying
283,202,Electric
284,202,Flying
285,203,Fire
286,203,Flying
287,204,Dragon
288,205,Dragon
289,206,Dragon
290,206,Flying
291,207,Bug
292,207,Poison
293,208,Psychic
294,209,Psychic
295,210,Grass
296,211,Grass
297,212,Grass
298,213,Fire
299,214,Fire
300,215,Fire
301,216,Water
302,217,Water
303,218,Normal
304,218,Flying
305,219,Water
306,220,Normal
307,221,Normal
308,222,Normal
309,222,Flying
310,223,Normal
311,223,Flying
312,224,Bug
313,224,Flying
314,225,Bug
315,225,Flying
316,226,Bug
317,226,Poison
318,227,Bug
319,227,Poison
320,228,Poison
321,228,Flying
322,229,Normal
323,229,Flying
324,230,Water
325,230,Electric
326,231,Water
327,231,Electric
328,232,Electric
329,233,Normal
330,234,Normal
331,235,Normal
332,236,Normal
333,236,Flying
334,237,Psychic
335,237,Flying
336,238,Psychic
337,238,Flying
338,239,Electric
339,240,Normal
340,240,Flying
341,241,Electric
342,242,Electric
343,243,Grass
344,244,Water
345,245,Water
346,246,Rock
347,247,Water
348,248,Grass
349,248,Flying
350,249,Grass
351,249,Flying
352,250,Grass
353,250,Flying
354,251,Normal
355,252,Normal
356,253,Grass
357,254,Grass
358,255,Bug
359,255,Flying
360,256,Water
361,256,Ground
362,257,Water
363,257,Ground
364,258,Psychic
365,259,Dark
366,260,Dark
367,260,Flying
368,261,Water
369,261,Psychic
370,262,Grass
371,262,Poison
372,263,Normal
373,264,Ghost
374,265,Psychic
375,266,Psychic
376,267,Normal
377,267,Psychic
378,268,Bug
379,269,Bug
380,269,Steel
381,270,Normal
382,271,Ground
383,271,Flying
384,272,Steel
385,272,Ground
386,273,Normal
387,274,Normal
388,274,Flying
389,275,Normal
390,276,Water
391,276,Poison
392,277,Bug
393,277,Steel
394,278,Bug
395,278,Rock
396,279,Bug
397,279,Fighting
398,280,Dark
399,280,Ice
400,281,Normal
401,282,Normal
402,283,Fire
403,284,Fire
404,284,Rock
405,285,Normal
406,285,Flying
407,286,Ice
408,286,Ground
409,287,Ice
410,287,Ground
411,288,Water
412,288,Rock
413,289,Water
414,290,Water
415,291,Ice
416,291,Flying
417,292,Water
418,292,Flying
419,293,Steel
420,293,Flying
421,294,Dark
422,294,Fire
423,295,Dark
424,295,Fire
425,296,Poison
426,297,Water
427,297,Dragon
428,298,Ground
429,299,Ground
430,300,Normal
431,301,Normal
432,302,Normal
433,303,Fighting
434,304,Fighting
435,305,Ice
436,305,Psychic
437,306,Electric
438,307,Poison
439,308,Fire
440,309,Normal
441,310,Normal
442,311,Electric
443,312,Fire
444,313,Water
445,314,Rock
446,314,Ground
447,315,Rock
448,315,Ground
449,316,Rock
450,316,Dark
451,317,Psychic
452,317,Flying
453,318,Electric
454,319,Fire
455,319,Flying
456,320,Psychic
457,320,Grass
458,321,Electric
459,322,Ground
460,323,Ground
461,324,Poison
462,325,Grass
463,325,Poison
464,326,Poison
465,327,Poison
466,327,Ground
467,328,Poison
468,329,Poison
469,330,Poison
470,330,Ground
471,331,Normal
472,332,Normal
473,333,Fire
474,334,Fire
475,335,Normal
476,336,Fire
477,337,Normal
478,338,Poison
479,338,Flying
480,339,Poison
481,339,Flying
482,340,Grass
483,340,Poison
484,341,Grass
485,341,Poison
486,342,Grass
487,342,Poison
488,343,Bug
489,343,Grass
490,344,Bug
491,344,Grass
492,345,Bug
493,345,Poison
494,346,Bug
495,346,Poison
496,347,Fire
497,348,Ground
498,349,Ground
499,350,Normal
500,351,Normal
501,352,Water
502,353,Water
503,354,Fighting
504,355,Fighting
505,356,Fire
506,357,Fire
507,358,Fire
508,358,Flying
509,359,Water
510,360,Water
511,361,Water
512,361,Fighting
513,362,Psychic
514,363,Psychic
515,364,Psychic
516,365,Fighting
517,366,Fighting
518,367,Fighting
519,368,Grass
520,368,Poison
521,369,Water
522,370,Grass
523,370,Poison
524,371,Grass
525,371,Poison
526,372,Water
527,372,Poison
528,373,Water
529,373,Poison
530,374,Rock
531,374,Ground
532,375,Rock
533,375,Ground
534,376,Rock
535,376,Ground
536,377,Fire
537,378,Fire
538,379,Water
539,379,Psychic
540,380,Water
541,381,Water
542,381,Psychic
543,382,Electric
544,382,Steel
545,383,Electric
546,383,Steel
547,384,Normal
548,384,Flying
549,385,Normal
550,385,Flying
551,386,Normal
552,386,Flying
553,387,Water
554,388,Water
555,388,Ice
556,389,Poison
557,390,Poison
558,391,Water
559,392,Water
560,393,Water
561,393,Ice
562,394,Ghost
563,394,Poison
564,395,Ghost
565,395,Poison
566,396,Ghost
567,396,Poison
568,397,Rock
569,397,Ground
570,398,Psychic
571,399,Psychic
572,400,Water
573,401,Water
574,402,Grass
575,402,Poison
576,403,Bug
577,404,Electric
578,405,Electric
579,406,Grass
580,406,Psychic
581,407,Grass
582,407,Psychic
583,408,Ground
584,409,Ground
585,410,Fighting
586,411,Fighting
587,412,Normal
588,413,Poison
589,414,Bug
590,415,Poison
591,416,Ground
592,416,Rock
593,417,Ground
594,417,Rock
595,418,Normal
596,419,Grass
597,420,Normal
598,421,Water
599,422,Water
600,423,Water
601,424,Water
602,425,Bug
603,425,Flying
604,426,Water
605,427,Water
606,427,Psychic
607,428,Psychic
608,429,Bug
609,429,Flying
610,430,Ice
611,430,Psychic
612,431,Electric
613,432,Fire
614,433,Bug
615,434,Normal
616,435,Water
617,436,Bug
618,436,Poison
619,437,Water
620,437,Flying
621,438,Water
622,438,Ice
623,439,Normal
624,440,Normal
625,441,Water
626,442,Electric
627,443,Fire
628,444,Normal
629,445,Rock
630,445,Water
631,446,Rock
632,446,Water
633,447,Bug
634,447,Poison
635,448,Rock
636,448,Water
637,449,Rock
638,449,Water
639,450,Rock
640,450,Flying
641,451,Normal
642,452,Ice
643,452,Flying
644,453,Electric
645,453,Flying
646,454,Fire
647,454,Flying
648,455,Dragon
649,456,Dragon
650,457,Dragon
651,457,Flying
652,458,Bug
653,458,Poison
654,459,Psychic
655,460,Psychic
656,461,Grass
657,462,Grass
658,463,Grass
659,464,Fire
660,465,Fire
661,466,Fire
662,467,Water
663,468,Water
664,469,Normal
665,469,Flying
666,470,Water
667,471,Normal
668,472,Normal
669,473,Normal
670,473,Flying
671,474,Normal
672,474,Flying
673,475,Bug
674,475,Flying
675,476,Bug
676,476,Flying
677,477,Bug
678,477,Poison
679,478,Bug
680,478,Poison
681,479,Poison
682,479,Flying
683,480,Normal
684,480,Flying
685,481,Water
686,481,Electric
687,482,Water
688,482,Electric
689,483,Electric
690,484,Normal
691,485,Normal
692,486,Normal
693,487,Normal
694,487,Flying
695,488,Psychic
696,488,Flying
697,489,Psychic
698,489,Flying
699,490,Electric
700,491,Normal
701,491,Flying
702,492,Electric
703,493,Electric
704,494,Grass
705,495,Water
706,496,Water
707,497,Rock
708,498,Water
709,499,Grass
710,499,Flying
711,500,Grass
712,500,Flying
713,501,Grass
714,501,Flying
715,502,Normal
716,503,Normal
717,504,Grass
718,505,Grass
719,506,Bug
720,506,Flying
721,507,Water
722,507,Ground
723,508,Water
724,508,Ground
725,509,Psychic
726,510,Dark
727,511,Dark
728,511,Flying
729,512,Water
730,512,Psychic
731,513,Grass
732,513,Poison
733,514,Normal
734,515,Ghost
735,516,Psychic
736,517,Psychic
737,518,Normal
738,518,Psychic
739,519,Bug
740,520,Bug
741,520,Steel
742,521,Normal
743,522,Ground
744,522,Flying
745,523,Steel
746,523,Ground
747,524,Normal
748,525,Normal
749,525,Flying
750,526,Normal
751,527,Water
752,527,Poison
753,528,Bug
754,528,Steel
755,529,Bug
756,529,Rock
757,530,Bug
758,530,Fighting
759,531,Dark
760,531,Ice
761,532,Normal
762,533,Normal
763,534,Fire
764,535,Fire
765,535,Rock
766,536,Normal
767,536,Flying
768,537,Ice
769,537,Ground
770,538,Ice
771,538,Ground
772,539,Water
773,539,Rock
774,540,Water
775,541,Water
776,542,Ice
777,542,Flying
778,543,Water
779,543,Flying
780,544,Steel
781,544,Flying
782,545,Dark
783,545,Fire
784,546,Dark
785,546,Fire
786,547,Poison
787,548,Water
788,548,Dragon
789,549,Ground
790,550,Ground
791,551,Normal
792,552,Normal
793,553,Normal
794,554,Fighting
795,555,Fighting
796,556,Ice
797,556,Psychic
798,557,Electric
799,558,Poison
800,559,Fire
801,560,Normal
