formats,gen,name,hp,atk,def,spa,spd,spe,weight,height,isNonstandard,dex_number,alias,Type 1,Type 2,is_Strong
OU,sv,Azelf,75,125,70,125,70,115,0.3,0.3,Standard,482.0,azelf,Psychic,None,1
OU,sv,Roaring Moon,105,139,71,55,101,119,380.0,2.0,Standard,1005.0,roaring-moon,Dragon,Dark,1
PU,sv,Pyroar,86,68,72,109,66,106,81.5,1.5,Standard,668.0,pyroar,Fire,Normal,0
LC,sv,Foongus,69,55,45,55,55,15,1.0,0.2,Standard,590.0,foongus,Grass,Poison,0
UU,ss,Nidoking,81,102,77,85,75,85,62.0,1.4,Standard,34.0,nidoking,Poison,Ground,0
LC,ss,Nidoran-M,46,57,40,40,40,50,9.0,0.5,Standard,32.0,nidoran-m,Poison,None,0
NU,sm,Vikavolt-Totem,77,70,90,145,75,43,147.5,2.6,Standard,738.0,vikavolt-totem,Bug,Electric,0
NFE,sm,Yanma,65,65,45,75,45,95,38.0,1.2,Standard,193.0,yanma,Bug,Flying,0
RU,sv,Grafaiai,63,95,65,80,72,110,27.2,0.7,Standard,945.0,grafaiai,Poison,Normal,0
RU,sv,Brute Bonnet,111,127,99,79,99,55,21.0,1.2,Standard,986.0,brute-bonnet,Grass,Dark,0
LC,ss,Smoochum,45,30,15,85,65,65,6.0,0.4,Standard,238.0,smoochum,Ice,Psychic,0
NFE,sv,Meditite,30,40,55,40,55,60,11.2,0.6,Standard,307.0,meditite,Fighting,Psychic,0
LC,sv,Silicobra,52,57,75,35,50,46,7.6,2.2,Standard,843.0,silicobra,Ground,None,0
PU,xy,Ninjask,61,90,45,50,50,160,12.0,0.8,Standard,291.0,ninjask,Bug,Flying,0
RU,ss,Weezing-Galar,65,90,120,85,70,60,16.0,3.0,Standard,110.0,weezing-galar,Poison,Fairy,0
OU,sv,Skeledirge,104,75,100,110,75,66,326.5,1.6,Standard,911.0,skeledirge,Fire,Ghost,1
PU,xy,Rapidash,65,100,70,80,80,105,95.0,1.7,Standard,78.0,rapidash,Fire,None,0
UU,ss,Nihilego,109,53,47,127,131,103,55.5,1.2,Standard,793.0,nihilego,Rock,Poison,0
OU,sv,Meowscarada,76,110,70,81,70,123,31.2,1.5,Standard,908.0,meowscarada,Grass,Dark,1
LC,ss,Farfetch'd-Galar,52,95,55,58,62,55,15.0,0.8,Standard,83.0,farfetch-d-galar,Fighting,None,0
LC,ss,Munna,76,25,45,67,55,24,23.3,0.6,Standard,517.0,munna,Psychic,None,0
NFE,ss,Vibrava,50,70,50,50,50,70,15.3,1.1,Standard,329.0,vibrava,Ground,Dragon,0
LC,ss,Lileep,66,41,77,61,87,23,23.8,1.0,Standard,345.0,lileep,Rock,Grass,0
RU,ss,Xurkitree,83,89,71,173,71,83,100.0,3.8,Standard,796.0,xurkitree,Electric,None,0
RU,sv,Naclstack,60,60,100,35,65,35,105.0,0.5,Standard,933.0,naclstack,Rock,None,0
NU,xy,Torterra,95,109,105,75,85,56,310.0,2.2,Standard,389.0,torterra,Grass,Ground,0
UU,ss,Venusaur,80,82,83,100,100,80,100.0,2.0,Standard,3.0,venusaur,Grass,Poison,0
LC,ss,Exeggcute,60,40,80,60,45,40,2.5,0.4,Standard,102.0,exeggcute,Grass,Psychic,0
NFE,sv,Spewpa,45,22,60,27,30,29,8.4,0.3,Standard,665.0,spewpa,Bug,None,0
NFE,sv,Arctibax,90,95,66,45,65,62,30.0,0.8,Standard,997.0,arctibax,Dragon,Ice,0
LC,sm,Poochyena,35,55,35,30,30,35,13.6,0.5,Standard,261.0,poochyena,Dark,None,0
LC,sm,Snubbull,60,80,50,40,40,30,7.8,0.6,Standard,209.0,snubbull,Fairy,None,0
OU,sv,Gholdengo,87,60,95,133,91,84,30.0,1.2,Standard,1000.0,gholdengo,Steel,Ghost,1
PU,sv,Charizard,78,84,78,109,85,100,90.5,1.7,Standard,6.0,charizard,Fire,Flying,0
PU,sv,Golduck,80,82,78,95,80,85,76.6,1.7,Standard,55.0,golduck,Water,None,0
PU,xy,Crustle,70,95,125,65,75,45,200.0,1.4,Standard,558.0,crustle,Bug,Rock,0
UUBL,ss,Dracozolt,90,100,90,80,70,75,190.0,1.8,Standard,880.0,dracozolt,Electric,Dragon,1
Uber,sv,Kyogre,100,100,90,150,140,90,352.0,4.5,Standard,382.0,kyogre,Water,None,1
LC,ss,Clobbopus,50,68,60,50,50,32,4.0,0.6,Standard,852.0,clobbopus,Fighting,None,0
LC,ss,Krabby,30,105,90,25,25,50,6.5,0.4,Standard,98.0,krabby,Water,None,0
LC,ss,Joltik,50,47,50,57,50,65,0.6,0.1,Standard,595.0,joltik,Bug,Electric,0
UU,sv,Forretress,75,90,140,60,60,40,125.8,1.2,Standard,205.0,forretress,Bug,Steel,0
LC,ss,Torchic,45,60,40,70,50,45,2.5,0.4,Standard,255.0,torchic,Fire,None,0
PU,xy,Bouffalant,95,110,95,40,95,55,94.6,1.6,Standard,626.0,bouffalant,Normal,None,0
LC,sv,Greavard,50,61,60,30,55,34,35.0,0.6,Standard,971.0,greavard,Ghost,None,0
OU,sv,Great Tusk,115,131,131,53,53,87,320.0,2.2,Standard,984.0,great-tusk,Ground,Fighting,1
UUBL,ss,Arctozolt,90,100,90,90,80,55,150.0,2.3,Standard,881.0,arctozolt,Electric,Ice,1
PU,sv,Indeedee-F,70,55,65,95,105,85,28.0,0.9,Standard,876.0,indeedee-f,Psychic,Normal,0
